ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
10179,1403150,Active,107163,2HR Pas Mon-Sat 1030-1800,,On Street,Manhattan,West 41 Street,N,11 Avenue,12 Avenue,40.7609496295168,-74.0005335352691,"984,102.196149811","216,511.193011567",POINT (-74.000533535269 40.760949629517)
13276,4093060,Active,452023,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,71 Avenue,S,Stephen Street,60 Street,40.7007077515178,-73.8989270123847,"1,012,275.29793997","194,579.362203389",POINT (-73.898927012385 40.700707751518)
10336,1443975,Retired,105979,3HR Com Mon-Fri 0700-1800 /2HR Pas Mon-Fri 1800-2200 /2HR Pas Sat 0800-2200,,On Street,Manhattan,East 41 Street,S,Queens Midtown Tunnel Exit,2 Avenue,40.7496068752079,-73.973890967072,"991,484.147265136","212,379.736707553",POINT (-73.973890967072 40.749606875208)
134,1228446,Active,109100,2 HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,Broadway,E,West 150 Street,West 151 Street,40.8298076267548,-73.947778253709,"998,701.893984467","241,602.85969165",POINT (-73.947778253709 40.829807626755)
13569,4373118,Active,435477,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,College Point Boulevard,W,18 Avenue,20 Avenue,40.7829085695521,-73.8459362393645,"1,026,915.77915764","224,549.087368816",POINT (-73.845936239364 40.782908569552)
13534,4333107,Active,432970,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,235 Street,W,Dead End,43 Avenue,40.7676908573335,-73.7480549727172,"1,054,038.49754989","219,067.606205806",POINT (-73.748054972717 40.767690857334)
13191,3133007,Active,306782,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,Bay Parkway,W,Bay Ridge Avenue,70 Street,40.6112704404452,-73.9842439405881,"988,624.667747885","161,979.086196721",POINT (-73.984243940588 40.611270440445)
281,4152149,Active,426759,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,47 Avenue,S,Vernon Boulevard,5 Street,40.7455526141597,-73.9536963605342,"997,080.338172466","210,904.952255562",POINT (-73.953696360534 40.74555261416)
9515,1443145,Active,104320,3HR Com Mon-Fri 0600-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,West 36 Street,N,Avenue of the Americas,5 Avenue,40.7506741582196,-73.9857466031168,"988,199.189596221","212,767.825498313",POINT (-73.985746603117 40.75067415822)
8126,1483006,Active,116178,3HR Com Mon-Fri 0700-1900,,On Street,Manhattan,Ann Street,N,Nassau Street,William Street,40.7104235150267,-74.0070164273306,"982,304.783406049","198,103.015917227",POINT (-74.007016427331 40.710423515027)
2756,4443019,Active,459976,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Rockaway Boulevard,S,97 Street,98 Street,40.6801668189301,-73.8415658031222,"1,028,193.81039423","187,119.27016823",POINT (-73.841565803122 40.68016681893)
14904,2323264,Active,217042,2 HR Pas Mon-Sat 0900-2000,,On Street,Bronx,Pelham Parkway South,S,Wilson Avenue,Eastchester Road,40.8571799141599,-73.844475957873,"1,027,272.13999347","251,609.496830553",POINT (-73.844475957873 40.85717991416)
8035,4233089,Active,424462,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,Newtown Avenue,S,30 Avenue,32 Street,40.7666456928356,-73.9202179507813,"1,006,349.91477764","218,596.520205721",POINT (-73.920217950781 40.766645692836)
12284,4063050,Active,433641,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Northern Boulevard,N,Parsons Boulevard,Union Street,40.7642904347483,-73.8269205360923,"1,032,195.30534397","217,775.724275142",POINT (-73.826920536092 40.764290434748)
3177,4193015,Active,468871,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,103 Street,W,39 Avenue,37 Avenue,40.7509836942556,-73.8633141699583,"1,022,121.36059688","212,909.825214311",POINT (-73.863314169958 40.750983694256)
12473,2083084,Active,206937,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,Bronx Boulevard,W,East 236 Street,East 233 Street,40.8964402053599,-73.8601814406908,"1,022,904.75273089","265,906.238906309",POINT (-73.860181440691 40.89644020536)
8183,3602930,Active,302937,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,18 Avenue,S,Seton Place,Ocean Parkway,40.6326956784688,-73.9728726053736,"991,779.500020891","169,785.639153138",POINT (-73.972872605374 40.632695678469)
13127,4063010,Active,452411,2 HR Pas Mon-Sat 0700-1900,,On Street,Queens,Northern Boulevard,N,Union Street,Leavitt Street,40.7640288315617,-73.8285653989181,"1,031,739.84365647","217,679.517774642",POINT (-73.828565398918 40.764028831562)
